iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;17:38:22;17:38:22;17:38:22;;;17:38:22;17:38:22;17:38:22;17:38:22;17:38:22;17:38:22;17:38:22;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
1;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:23;17:38:24;17:38:24;17:38:24;17:38:24;17:38:24;17:38:24;17:38:25;17:38:25;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
2;17:38:25;17:38:25;17:38:25;17:38:25;17:38:25;17:38:25;;;17:38:25;17:38:25;17:38:25;17:38:25;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
3;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;17:38:26;;;17:38:26;17:38:26;17:38:26;17:38:26;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
4;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;17:38:27;;;17:38:27;17:38:27;17:38:27;17:38:27;17:38:28;17:38:28;17:38:28;17:38:28;17:38:28;17:38:28;17:38:29;17:38:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
5;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;;;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:29;17:38:30;17:38:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
6;17:38:30;17:38:30;17:38:30;17:38:30;17:38:30;17:38:30;;;17:38:30;17:38:30;17:38:30;17:38:30;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
7;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;17:38:31;;;17:38:31;17:38:31;17:38:31;17:38:31;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
8;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;17:38:32;;;17:38:32;17:38:32;17:38:32;17:38:32;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
9;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;17:38:33;;;17:38:33;17:38:33;17:38:33;17:38:33;17:38:34;17:38:34;17:38:34;17:38:34;17:38:34;17:38:34;17:38:35;17:38:35;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
10;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;;;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:35;17:38:36;17:38:36;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
